Date,Price,Open,High,Low,Vol.,Change %
02/01/2018,1315.5,1343.8,1361.4,1307.0,,
03/01/2018,1322.8,1310.4,1354.4,1301.8,,
05/01/2018,1300.1,1313.2,1320.8,1285.2,,
06/01/2018,1251.3,1298.6,1307.7,1244.8,,
08/01/2018,1200.3,1222.9,1223.7,1161.4,,
09/01/2018,1191.5,1193.8,1206.2,1180.0,,
10/01/2018,1212.3,1191.6,1238.6,1183.7,,
11/01/2018,1220.2,1215.4,1236.0,1196.3,,
12/01/2018,1278.3,1222.5,1281.3,1221.3,,
01/01/2019,1319.7,1286.0,1325.4,1275.3,,
02/01/2019,1312.8,1320.3,1344.0,1301.6,,
03/01/2019,1293.0,1312.2,1322.9,1281.0,,
04/01/2019,1282.8,1291.8,1309.1,1266.0,,
05/01/2019,1305.8,1278.7,1306.4,1266.6,,
06/01/2019,1409.7,1307.0,1433.3,1307.0,,
07/01/2019,1426.1,1386.6,1444.2,1382.8,,
08/01/2019,1519.1,1411.3,1549.3,1400.9,,
10/01/2019,1511.4,1468.7,1518.2,1458.3,,
11/01/2019,1465.6,1511.0,1511.6,1447.1,,
01/01/2020,1582.9,1518.1,1604.2,1518.0,,
02/01/2020,1564.1,1592.9,1686.6,1547.7,,
04/01/2020,1684.2,1570.0,1775.0,1570.0,,
05/01/2020,1736.9,1686.6,1770.5,1670.5,,
06/01/2020,1793.0,1740.4,1793.2,1668.6,,
07/01/2020,1962.8,1793.6,1981.1,1765.8,,
08/01/2020,1967.6,1984.3,2063.0,1871.6,,
09/01/2020,1887.5,1961.7,1986.3,1851.5,,
10/01/2020,1877.4,1884.1,1929.1,1858.8,,
12/01/2020,1893.1,1775.0,1908.0,1774.9,,
01/01/2021,1847.3,1912.2,1959.9,1802.0,,
02/01/2021,1728.1,1866.6,1871.9,1718.8,,
03/01/2021,1713.8,1737.1,1750.3,1673.7,,
04/01/2021,1767.3,1706.8,1794.5,1706.4,,
05/01/2021,1902.5,1788.5,1905.4,1774.8,,
06/01/2021,1770.8,1905.1,1916.2,1752.1,,
07/01/2021,1812.6,1775.7,1833.0,1768.8,,
09/01/2021,1755.3,1813.5,1833.9,1721.4,,
10/01/2021,1783.0,1754.3,1809.0,1744.7,,
